ISO2,ISO3,Country_Name,Country_Highlight,Region,Avg_Immigration_Index,Avg_Culture_Enrichment,Avg_Better_Place,Avg_Economy,Avg_Political_Position,Ranking,Categoria,n_respondents,SD_Immigration
IS,ISL,Islandia,Resto de Europa,Europa Nórdica,6.92900790124667,6.967650954543079,7.029952022357633,6.775561597751801,4.694214650377428,1,Muy abierto,795,1.799210829235868
GB,GBR,Reino Unido,Resto de Europa,Europa Occidental,6.576356474162937,6.687640402625466,6.4767070675497065,6.534684307882225,4.49419957954409,2,Muy abierto,1337,2.2594416848040386
FI,FIN,Finlandia,Resto de Europa,Europa Nórdica,6.520857133641922,7.194584075177896,6.001236312941847,6.362576540256764,5.469509450723793,3,Muy abierto,1500,1.8116903314693527
SE,SWE,Suecia,Resto de Europa,Europa Nórdica,6.364350920923843,6.872571604396552,6.29538184600531,5.918368387994364,4.940432776074035,4,Moderadamente abierto,1185,1.8795141095681338
CH,CHE,Suiza,Resto de Europa,Europa Occidental,6.271438491230112,6.425207928563627,5.853080023973429,6.539871374160414,5.0231878852077845,5,Moderadamente abierto,1236,1.7453143219065714
IE,IRL,Irlanda,Resto de Europa,Europa Occidental,6.226522231024977,6.238743378552515,6.236240985030097,6.168880434487815,4.7687246221499215,6,Moderadamente abierto,1673,2.3777900038634896
NO,NOR,Noruega,Resto de Europa,Europa Nórdica,6.215160575742661,6.33530004166289,6.272166874692356,6.023371374456259,5.171642227028936,7,Moderadamente abierto,1286,1.7387061593932256
ES,ESP,España,España,Europa Meridional,6.213732798998334,6.522136299047582,5.869679576036218,6.240060664336589,4.617185757082759,8,Moderadamente abierto,1634,2.0857420886193676
NL,NLD,Países Bajos,Resto de Europa,Europa Occidental,5.8339135930929515,6.284742100487681,5.52979446188234,5.719199719470664,5.050870280911128,9,Moderadamente abierto,1568,1.5883579482962296
BE,BEL,Bélgica,Resto de Europa,Europa Occidental,5.690393426504474,6.176582604717186,5.337401873092853,5.5639327577265565,5.003273818174256,10,Moderadamente abierto,1490,1.806007459696699
UA,UKR,Ucrania,Resto de Europa,Europa Oriental,5.609086563501186,5.234527039833814,5.343010438654268,6.170005819115973,5.19482921706923,11,Moderadamente abierto,1269,2.340312110690844
PT,PRT,Portugal,Resto de Europa,Europa Meridional,5.5862162846968255,5.707087353892122,4.716814162602552,6.2998638619653535,5.029201675063001,12,Moderadamente abierto,1067,1.882271806990809
PL,POL,Polonia,Polonia,Europa Oriental,5.573751445535917,5.540060530970515,5.570008164697223,5.592765062437156,5.6329770284960246,13,Moderadamente abierto,1177,1.9790194117535698
DE,DEU,Alemania,Resto de Europa,Europa Occidental,5.526781458987754,5.734561570175267,5.064425017118527,5.779141168869455,4.546077287905694,14,Moderadamente abierto,2278,2.0633816694766915
FR,FRA,Francia,Resto de Europa,Europa Occidental,5.3898550751195335,5.570960401385912,5.122688354957401,5.4689544519782665,5.046736298715427,15,Neutral,1535,2.186028620657923
AT,AUT,Austria,Resto de Europa,Europa Occidental,5.368346341670094,5.229142352561152,4.781750486411832,6.047437464876023,4.755662097699493,16,Neutral,2056,2.161991586291362
LT,LTU,Lituania,Resto de Europa,Europa Oriental,5.343325061960914,5.074957467187901,5.226796047369555,5.687064145184825,5.304536800919178,17,Neutral,984,2.017147893991558
EE,EST,Estonia,Resto de Europa,Europa Oriental,5.248030392306979,5.517375486706872,4.783775699347211,5.420950738621196,5.653757743632364,18,Neutral,1076,1.9223175523576743
SI,SVN,Eslovenia,Resto de Europa,Europa Oriental,5.209619137065439,5.246999642114281,4.887401390760585,5.506795766051857,4.878853529541955,19,Neutral,1016,2.1673445223393686
HR,HRV,Croacia,Resto de Europa,Europa Oriental,5.044609760429744,5.0352796050030735,5.0090698381274414,5.086639520336285,5.223778139681839,20,Neutral,1303,2.3230404679062118
RS,SRB,Serbia,Resto de Europa,Europa Oriental,4.904632657757299,5.006009192839359,4.917674334840214,4.808109274744323,4.806558172272079,21,Neutral,944,2.6702650187895647
