cntry,Country_Name,Country_Highlight,Region,Education_Level,Avg_Immigration,Avg_Culture,n,Education_Gradient
AT,Austria,Resto de Europa,Europa Occidental,Básica,5.2900337495529035,4.962017644724841,271,0.9944195033826739
AT,Austria,Resto de Europa,Europa Occidental,Media,5.030650192027311,4.864264862565148,1442,0.9944195033826739
AT,Austria,Resto de Europa,Europa Occidental,Superior,6.025069695409985,6.044999978560588,323,0.9944195033826739
BE,Bélgica,Resto de Europa,Europa Occidental,Básica,5.043282421105448,5.434417162011351,250,1.3143108315682355
BE,Bélgica,Resto de Europa,Europa Occidental,Media,5.442499332061581,5.980194627588569,563,1.3143108315682355
BE,Bélgica,Resto de Europa,Europa Occidental,Superior,6.357593252673683,6.856557912777738,657,1.3143108315682355
BG,Bulgaria,Resto de Europa,Europa Oriental,Básica,4.054352819503058,4.346712068551162,244,0.27340720888830505
BG,Bulgaria,Resto de Europa,Europa Oriental,Media,3.959871287596919,4.311874259623455,835,0.27340720888830505
BG,Bulgaria,Resto de Europa,Europa Oriental,Superior,4.233278496485224,4.64988579321585,625,0.27340720888830505
CH,Suiza,Resto de Europa,Europa Occidental,Básica,5.971836396241536,6.145981997537302,178,1.036510093366017
CH,Suiza,Resto de Europa,Europa Occidental,Media,5.956207634184953,6.041961656213549,678,1.036510093366017
CH,Suiza,Resto de Europa,Europa Occidental,Superior,6.9927177275509695,7.247849140168304,376,1.036510093366017
CY,Chipre,Resto de Europa,Europa Meridional,Básica,3.035117334430778,2.8380714833743674,136,1.1858307884307173
CY,Chipre,Resto de Europa,Europa Meridional,Media,3.663442049765736,3.545619525611553,246,1.1858307884307173
CY,Chipre,Resto de Europa,Europa Meridional,Superior,4.220948122861495,4.025801893137291,183,1.1858307884307173
DE,Alemania,Resto de Europa,Europa Occidental,Básica,5.218907181730757,5.4689771889369885,198,1.6296319164491724
DE,Alemania,Resto de Europa,Europa Occidental,Media,5.230266572011101,5.430435484856649,1489,1.6296319164491724
DE,Alemania,Resto de Europa,Europa Occidental,Superior,6.84853909817993,7.02429881429963,581,1.6296319164491724
EE,Estonia,Resto de Europa,Europa Oriental,Básica,5.10247621514212,5.300889476956452,123,0.8612136332126017
EE,Estonia,Resto de Europa,Europa Oriental,Media,4.89929503522349,5.142779017237165,505,0.8612136332126017
EE,Estonia,Resto de Europa,Europa Oriental,Superior,5.760508668436092,6.10443497957988,447,0.8612136332126017
ES,España,España,Europa Meridional,Básica,5.6579207256050426,5.915758562146697,701,1.2187374331209417
ES,España,España,Europa Meridional,Media,6.387014393155143,6.673518282050057,483,1.2187374331209417
ES,España,España,Europa Meridional,Superior,6.876658158725984,7.282858718394626,447,1.2187374331209417
FI,Finlandia,Resto de Europa,Europa Nórdica,Básica,6.225002835306814,6.664275600557293,233,0.92898318672417
FI,Finlandia,Resto de Europa,Europa Nórdica,Media,6.297299122543149,7.076967319321668,684,0.92898318672417
FI,Finlandia,Resto de Europa,Europa Nórdica,Superior,7.153986022030984,7.8221330561856135,582,0.92898318672417
FR,Francia,Resto de Europa,Europa Occidental,Básica,4.855500018393539,4.923260493903123,240,1.4510117050900533
FR,Francia,Resto de Europa,Europa Occidental,Media,5.182448220399283,5.337501364554647,856,1.4510117050900533
FR,Francia,Resto de Europa,Europa Occidental,Superior,6.306511723483593,6.652329698776751,433,1.4510117050900533
GB,Reino Unido,Resto de Europa,Europa Occidental,Básica,5.739554768818109,5.77596257274086,382,1.833845340729959
GB,Reino Unido,Resto de Europa,Europa Occidental,Media,6.155804092128578,6.299176519356892,448,1.833845340729959
GB,Reino Unido,Resto de Europa,Europa Occidental,Superior,7.573400109548068,7.7015391707703404,475,1.833845340729959
GR,Grecia,Resto de Europa,Europa Meridional,Básica,3.8378959330760707,3.754828007035486,523,0.42580628322749314
GR,Grecia,Resto de Europa,Europa Meridional,Media,4.246738744648098,4.150855534334549,1187,0.42580628322749314
GR,Grecia,Resto de Europa,Europa Meridional,Superior,4.263702216303564,4.2810420929626964,596,0.42580628322749314
HR,Croacia,Resto de Europa,Europa Oriental,Básica,4.761623113883593,4.7507874737999645,246,0.8309514898600447
HR,Croacia,Resto de Europa,Europa Oriental,Media,4.984050984439178,4.952767281147205,824,0.8309514898600447
HR,Croacia,Resto de Europa,Europa Oriental,Superior,5.592574603743638,5.6705059809947995,233,0.8309514898600447
