cntry,Country_Name,Country_Highlight,Age_Group,Political_Spectrum,Avg_Immigration,n,Intensidad
AT,Austria,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.87354038267355,40,Positivo
AT,Austria,Resto de Europa,Gen Z (<27),Centro (4-6),6.136581127841905,71,Positivo
AT,Austria,Resto de Europa,Gen Z (<27),Derecha (7-10),4.099957220154926,9,Negativo
AT,Austria,Resto de Europa,Millennials (27-42),Izquierda (0-3),6.8109796205889594,73,Positivo
AT,Austria,Resto de Europa,Millennials (27-42),Centro (4-6),5.412581826306571,253,Neutral
AT,Austria,Resto de Europa,Millennials (27-42),Derecha (7-10),2.8898805935855316,44,Muy negativo
AT,Austria,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.919390055015723,94,Positivo
AT,Austria,Resto de Europa,Gen X (43-58),Centro (4-6),5.323260893089773,412,Neutral
AT,Austria,Resto de Europa,Gen X (43-58),Derecha (7-10),3.797238220184911,94,Muy negativo
AT,Austria,Resto de Europa,Boomers+ (59+),Izquierda (0-3),6.369351638141511,164,Positivo
AT,Austria,Resto de Europa,Boomers+ (59+),Centro (4-6),4.957580120617842,679,Negativo
AT,Austria,Resto de Europa,Boomers+ (59+),Derecha (7-10),3.731151082763835,123,Muy negativo
BE,Bélgica,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.456602833025713,55,Positivo
BE,Bélgica,Resto de Europa,Gen Z (<27),Centro (4-6),6.0200275514732136,133,Positivo
BE,Bélgica,Resto de Europa,Gen Z (<27),Derecha (7-10),5.018453795195587,57,Neutral
BE,Bélgica,Resto de Europa,Millennials (27-42),Izquierda (0-3),6.731580341259133,91,Positivo
BE,Bélgica,Resto de Europa,Millennials (27-42),Centro (4-6),5.987364644001487,161,Neutral
BE,Bélgica,Resto de Europa,Millennials (27-42),Derecha (7-10),5.182951537104858,76,Neutral
BE,Bélgica,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.039578627378169,78,Positivo
BE,Bélgica,Resto de Europa,Gen X (43-58),Centro (4-6),5.7371136466060895,197,Neutral
BE,Bélgica,Resto de Europa,Gen X (43-58),Derecha (7-10),4.617670508438032,103,Negativo
BE,Bélgica,Resto de Europa,Boomers+ (59+),Izquierda (0-3),5.584173245371143,90,Neutral
BE,Bélgica,Resto de Europa,Boomers+ (59+),Centro (4-6),5.52726042963557,312,Neutral
BE,Bélgica,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.285799968530357,137,Neutral
BG,Bulgaria,Resto de Europa,Gen Z (<27),Izquierda (0-3),4.573407318687698,8,Negativo
BG,Bulgaria,Resto de Europa,Gen Z (<27),Centro (4-6),4.3095197760778925,84,Negativo
BG,Bulgaria,Resto de Europa,Gen Z (<27),Derecha (7-10),1.9164714192892744,100,Muy negativo
BG,Bulgaria,Resto de Europa,Millennials (27-42),Izquierda (0-3),4.460690762410188,23,Negativo
BG,Bulgaria,Resto de Europa,Millennials (27-42),Centro (4-6),4.752664301866739,175,Negativo
